time,seconds_elapsed,z,y,x,sensor,activity,file_source
1761305281246187800,0.198187744140625,-0.040679931640625,0.0128424018621444,0.0023500919342041,accelerometer,Still,Accelerometer_1.csv
1761305281263011800,0.21501171875,-0.0405263900756835,0.0133389085531234,-0.0004474520683288,accelerometer,Still,Accelerometer_1.csv
1761305281279835400,0.23183544921875,-0.0466928482055664,0.0124505311250686,0.0031540244817733,accelerometer,Still,Accelerometer_1.csv
1761305281296658000,0.248657958984375,-0.0401525497436523,0.0070601403713226,0.0037603750824928,accelerometer,Still,Accelerometer_1.csv
1761305281313481500,0.2654814453125,-0.0420875549316406,-0.0036422759294509,0.0038004145026206,accelerometer,Still,Accelerometer_1.csv
1761305281330300200,0.282300048828125,-0.0446538925170898,-0.0115315914154052,0.0078803971409797,accelerometer,Still,Accelerometer_1.csv
1761305281347132200,0.299132080078125,-0.0439023971557617,-0.0126157253980636,0.0032028332352638,accelerometer,Still,Accelerometer_1.csv
1761305281363938300,0.315938232421875,-0.0397291183471679,-0.0087687671184539,0.0024169012904167,accelerometer,Still,Accelerometer_1.csv
1761305281380774700,0.332774658203125,-0.0425062179565429,-0.0010770708322525,0.0017705559730529,accelerometer,Still,Accelerometer_1.csv
1761305281397580300,0.349580322265625,-0.044224739074707,0.0052855163812637,-0.0012602433562278,accelerometer,Still,Accelerometer_1.csv
1761305281414409500,0.366409423828125,-0.0453376770019531,0.0202834159135818,-0.0029496327042579,accelerometer,Still,Accelerometer_1.csv
1761305281431227600,0.3832275390625,-0.0445098876953125,0.0156225860118865,-0.0055052042007446,accelerometer,Still,Accelerometer_1.csv
1761305281448055800,0.400055908203125,-0.03839111328125,0.0179485827684402,-0.0036529675126075,accelerometer,Still,Accelerometer_1.csv
1761305281464876300,0.416876220703125,-0.0405292510986328,0.0166146755218505,-0.0067733898758888,accelerometer,Still,Accelerometer_1.csv
1761305281481700400,0.433700439453125,-0.044407844543457,0.0094270557165145,0.0019694939255714,accelerometer,Still,Accelerometer_1.csv
1761305281498523000,0.45052294921875,-0.0438547134399414,0.0014709830284118,0.0003291741013526,accelerometer,Still,Accelerometer_1.csv
1761305281515349800,0.467349853515625,-0.0408449172973632,-0.0078042149543762,0.0070787221193313,accelerometer,Still,Accelerometer_1.csv
1761305281532194600,0.484194580078125,-0.0363311767578125,-0.0155852138996124,0.0120655372738838,accelerometer,Still,Accelerometer_1.csv
1761305281549006800,0.5010068359375,-0.04669189453125,-0.0125758349895477,0.012840136885643,accelerometer,Still,Accelerometer_1.csv
1761305281565826600,0.51782666015625,-0.0493984222412109,-0.0121699273586273,0.016973927617073,accelerometer,Still,Accelerometer_1.csv
1761305281582638800,0.534638916015625,-0.0376205444335937,0.0008485019207,0.0076032653450965,accelerometer,Still,Accelerometer_1.csv
1761305281599475700,0.551475830078125,-0.0472478866577148,0.0151523053646087,0.0011079981923103,accelerometer,Still,Accelerometer_1.csv
1761305281616283100,0.568283203125,-0.0447816848754882,0.0254775285720825,-0.0038909465074539,accelerometer,Still,Accelerometer_1.csv
1761305281633118000,0.585117919921875,-0.044407844543457,0.0334270894527435,-0.0069662928581237,accelerometer,Still,Accelerometer_1.csv
1761305281649950000,0.601949951171875,-0.041421890258789,0.039978489279747,-0.002109095454216,accelerometer,Still,Accelerometer_1.csv
1761305281666768600,0.6187685546875,-0.047952651977539,0.0440267920494079,-0.00496756285429,accelerometer,Still,Accelerometer_1.csv
1761305281683575800,0.635575927734375,-0.0460119247436523,0.0330760926008224,-0.0015982389450073,accelerometer,Still,Accelerometer_1.csv
1761305281700400600,0.652400634765625,-0.0482730865478515,-0.0056938529014587,-0.0108418837189674,accelerometer,Still,Accelerometer_1.csv
1761305281717226000,0.66922607421875,-0.040837287902832,-0.0515167266130447,-0.0190047845244407,accelerometer,Still,Accelerometer_1.csv
1761305281734047500,0.686047607421875,-0.0403652191162109,-0.0712059587240219,-0.0185991078615188,accelerometer,Still,Accelerometer_1.csv
1761305281750871800,0.702871826171875,-0.0368680953979492,-0.0784637629985809,0.0028325989842414,accelerometer,Still,Accelerometer_1.csv
1761305281767694300,0.7196943359375,-0.0381326675415039,-0.0518188178539276,0.0213803872466087,accelerometer,Still,Accelerometer_1.csv
1761305281784535300,0.736535400390625,-0.0394659042358398,-0.0172310024499893,0.0427537001669406,accelerometer,Still,Accelerometer_1.csv
1761305281801377000,0.753376953125,-0.0390386581420898,0.0262806415557861,0.045283704996109,accelerometer,Still,Accelerometer_1.csv
1761305281818178000,0.770177978515625,-0.0386877059936523,0.052582710981369,0.017933003604412,accelerometer,Still,Accelerometer_1.csv
1761305281834974000,0.786973876953125,-0.046121597290039,0.0741276293992996,-0.0104472637176513,accelerometer,Still,Accelerometer_1.csv
1761305281851793200,0.803793212890625,-0.0555038452148437,0.0750888884067535,-0.0440844297409057,accelerometer,Still,Accelerometer_1.csv
1761305281868647400,0.8206474609375,-0.0528583526611328,0.053246796131134,-0.054693691432476,accelerometer,Still,Accelerometer_1.csv
1761305281885471200,0.83747119140625,-0.0548725128173828,0.0176607370376586,-0.0396007075905799,accelerometer,Still,Accelerometer_1.csv
1761305281902276600,0.854276611328125,-0.0408449172973632,-0.0104174315929412,-0.0084399953484535,accelerometer,Still,Accelerometer_1.csv
1761305281919092200,0.87109228515625,-0.0299558639526367,-0.035549983382225,0.0331166237592697,accelerometer,Still,Accelerometer_1.csv
1761305281935927800,0.887927734375,-0.0330238342285156,-0.03543221950531,0.0553958788514137,accelerometer,Still,Accelerometer_1.csv
1761305281952751900,0.904751953125,-0.0375452041625976,-0.0265083014965057,0.0610667094588279,accelerometer,Still,Accelerometer_1.csv
1761305281969573000,0.921572998046875,-0.0356693267822265,-0.0054194629192352,0.0381166040897369,accelerometer,Still,Accelerometer_1.csv
1761305281986396700,0.938396728515625,-0.0487213134765625,0.0130046606063842,0.0029797032475471,accelerometer,Still,Accelerometer_1.csv
1761305282003217200,0.955217041015625,-0.0424280166625976,0.0170991718769073,-0.0365986451506614,accelerometer,Still,Accelerometer_1.csv
1761305282020053200,0.97205322265625,-0.0473241806030273,0.0198378264904022,-0.0530095845460891,accelerometer,Still,Accelerometer_1.csv
1761305282036884200,0.98888427734375,-0.0488405227661132,0.006934642791748,-0.0438813418149948,accelerometer,Still,Accelerometer_1.csv
1761305282053686800,1.005686767578125,-0.0439968109130859,-0.0101665556430816,-0.0194118469953537,accelerometer,Still,Accelerometer_1.csv
1761305282070521900,1.02252197265625,-0.0419893264770507,-0.0081976652145385,0.0155586451292037,accelerometer,Still,Accelerometer_1.csv
1761305282087332400,1.039332275390625,-0.0359830856323242,-0.0039645284414291,0.0444804280996322,accelerometer,Still,Accelerometer_1.csv
1761305282104172300,1.05617236328125,-0.0362071990966796,0.0019965171813964,0.0500167421996593,accelerometer,Still,Accelerometer_1.csv
1761305282120996000,1.07299609375,-0.0408105850219726,0.0180297642946243,0.0339319482445716,accelerometer,Still,Accelerometer_1.csv
1761305282137818600,1.089818603515625,-0.0378065109252929,0.0205375850200653,0.0113763585686683,accelerometer,Still,Accelerometer_1.csv
1761305282154644700,1.106644775390625,-0.0474042892456054,0.0162356942892074,-0.0123419165611267,accelerometer,Still,Accelerometer_1.csv
1761305282171446500,1.123446533203125,-0.0488538742065429,0.0145412236452102,-0.0373070687055587,accelerometer,Still,Accelerometer_1.csv
1761305282188275500,1.140275390625,-0.0472888946533203,0.0031566768884658,-0.0405364260077476,accelerometer,Still,Accelerometer_1.csv
1761305282205098000,1.157097900390625,-0.0412092208862304,-0.0039177536964416,-0.0260508954524993,accelerometer,Still,Accelerometer_1.csv
1761305282221922000,1.173922119140625,-0.045633316040039,-0.0091780573129653,-0.0018884986639022,accelerometer,Still,Accelerometer_1.csv
1761305282238744600,1.19074462890625,-0.0370435714721679,-0.0099456161260604,0.0132368877530097,accelerometer,Still,Accelerometer_1.csv
1761305282255568400,1.207568359375,-0.0445137023925781,-0.0082248896360397,0.024816945195198,accelerometer,Still,Accelerometer_1.csv
1761305282272403500,1.224403564453125,-0.0368661880493164,0.0014834702014923,0.0335731729865074,accelerometer,Still,Accelerometer_1.csv
